week,median_rom,95p_rom,Tremor time,Modal tremor power,90th percentile of tremor power
2,14.063698465497058,25.11725739294099,31.509316258953632,0.5157667756167951,0.5894862807236706
4,9.623803132342964,23.42999621990865,8.934828259402014,0.006964342050393868,1.341321100836319
6,11.609110476111322,24.265030707173814,37.786937441114645,0.20594503502792336,1.110153685178083
8,17.412487770268687,27.02688546085788,18.48695848565883,0.8046583599469156,0.9791448712486097
10,17.42401117908109,28.330703583987354,16.919580498235547,-0.5148744255253643,0.4434269665709303
12,15.659213623854829,31.004316688880632,31.28970845677863,0.36185044546168055,0.3987016161669699
14,15.871866094465345,32.29630779397007,25.48872635185473,0.37378322122190166,1.4565799981567833
16,18.03149829506909,27.774675288051334,32.78086070766597,0.09371462061329168,1.5804914375051582
18,17.57183071528083,27.188837544177932,19.515380889449343,0.03897713403426349,1.8226711861732126
20,13.261960252850825,22.791502087793887,62.618871205940536,0.07385130606636338,1.571817085660392
22,16.641493819332652,24.859415290544504,24.908293109839736,0.4481452522510748,0.7716155921786618
24,15.209776696928596,22.04664459311973,28.8005165649379,-0.517022861863033,1.3950010320698207
26,14.626900064010451,26.734138625051834,29.30629619515508,0.09793934910193358,1.126718209577575
28,10.742208943348697,17.544749923983478,23.843882801728043,0.05608916313450325,1.6866383761152877
30,13.02956313080337,21.98003631478054,35.26158156511925,-0.03404702123100922,1.1729201271438394
32,14.730336455085522,26.833691566723697,34.686305018872886,0.20504761839995156,1.0641757446224969
34,12.312871471709778,20.93541272083357,46.57616507485811,-0.22455502977141717,1.4704037260394824
36,14.21061182034899,15.906160011971949,41.458517291521744,0.49565927701899704,1.614406750196181
38,13.654241782385478,22.160648379140202,36.18158532556405,0.540071332890852,1.0457374796347172
40,14.766984562559061,32.16573786319236,30.799579795617085,-0.012055033812627236,1.828748860702618
42,11.505856164320868,22.327037097218295,28.850543766542167,-0.386757450974094,1.8473586688252195
44,13.510632055006194,17.83689503557449,36.750373720877036,0.1331555360071351,0.9051149693780386
46,10.742695643051844,19.177171944058454,39.09177452136794,0.5036035641328648,1.5330122519909757
48,7.7836787806312255,20.298901764773397,53.87593378311031,0.7013590184881651,1.4066420893087486
50,10.320307683149089,25.239306025871148,21.359521413009077,0.35157204388304675,2.4081434194826032
52,14.03089387461516,20.590233711647496,51.991514378738806,-0.011816978912036813,0.9424396589066156
54,13.028258846351754,22.38724023232427,43.58256529613727,0.3917317579836822,1.5901196856680255
56,10.074367314263258,18.664652798858015,42.19656994737066,0.43612075796864647,2.333459176770986
58,8.903233558686917,19.647734165971368,44.233716197222265,1.0368780152275117,1.7663988441160163
60,8.665484753063163,15.610171380988664,65.92162142053776,0.7161473608868426,2.3666616694981166
62,12.31442031167999,17.91298921912596,47.16006162829853,0.2629391945611494,2.4122449221108506
64,8.633120895528245,19.285220526222712,70.41881308356614,0.8106804987085826,1.8749706897171314
66,5.646255456615746,18.21946385170942,56.410711311150244,0.9552471118231376,2.714541622642977
68,7.545543664289485,24.686979086434633,67.40712220150017,0.7326670885465636,2.570683238010141
70,12.21502917552369,19.98292336368996,69.72631326333398,1.095728570131417,2.6978007529590284
72,14.175138935207885,19.004278711515166,62.48534394602318,1.3610651789988317,1.8364881415050274
74,9.82524813040465,18.12311605153331,39.6762646050514,0.5126612737271343,3.1597027676622895
76,9.642081116521647,18.151780583521884,54.96217796344953,1.5018991836072353,2.136018901698529
78,12.297342934063602,22.941312220404328,81.27252816832566,1.2974040656815764,2.960189780449548
80,12.303773412706478,19.274078117883697,68.87953817395777,1.5129762876844348,3.213958686028462
82,11.987456455315213,19.024718813796866,70.45404363251903,1.4841685324675558,2.642355870891909
84,14.533387837651759,18.41849642401664,92.12967973122079,1.3776804104271743,3.197943787769014
86,11.704185663972712,21.03358964109759,90.94134414228839,1.6618585070250576,3.5023211655279947
88,12.790452497802274,14.94846887109603,71.86835835937846,1.6912334262629483,2.829085411661269
90,13.542397501815492,17.4588990705185,72.15746100117788,1.5232119455879163,3.482474962461197
92,15.321618943693903,17.01173674375007,89.54205128133046,1.2602202614545808,3.223936291132102
94,7.59596896296431,17.695274519553127,76.60714946041783,2.515846861790992,3.6194619433543784
96,14.369463974969863,21.790655213711833,82.70508629215512,1.931961279168552,3.7180544789965286
98,,,69.3194872661142,1.4020076687727485,3.7774517065251865
100,,,,,
102,,,,,
104,,,,,
